region_country,model,sample_mean,upper_95_ui,lower_95_ui,sd,level,definition
Slovenia,45.92,33.99,136.02,8.99,34.34,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Solomon Islands,6.44,4.64,21,1.28,5.1,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Somalia,NA,NA,NA,NA,NA,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
South Africa,20.09,14.65,60.85,3.88,16.73,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Spain,53.22,37.91,160.84,10.72,42.34,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Sri Lanka,10.93,7.73,30.6,2.3,7.9,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Sudan,5.96,4.23,17.49,1.15,4.43,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Suriname,16,11.24,44.04,3.48,11.38,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Swaziland,11.23,8.03,32.19,2.28,8.62,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Sweden,64.37,44.35,195.16,13.26,51.3,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Switzerland,77.68,54.76,245.21,14.75,59.69,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Syrian Arab Republic,12.15,8.56,39.68,2.48,9.74,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Tajikistan,4.77,3.49,15.2,1.02,3.91,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Thailand,17.7,12.57,53.6,3.34,13.64,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
The former Yugoslav Republic of Macedonia,21.51,15.64,63.73,4.52,16.39,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Timor-Leste,3.85,2.68,11.88,0.79,3.04,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Togo,2.57,1.82,7.4,0.56,1.91,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Tonga,10,7.16,30.1,2.04,7.79,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Trinidad and Tobago,44.95,30.88,143.49,9.89,37.46,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Tunisia,18.76,13.45,54.62,3.73,14.75,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Turkey,29.3,20.53,83.89,6.45,21.15,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Turkmenistan,16.46,11.72,47.07,3.48,11.76,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Tuvalu,6.31,4.43,18.77,1.28,4.68,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Uganda,3.26,2.36,10.16,0.64,2.73,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Ukraine,13.83,9.78,38.37,2.72,9.79,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
United Arab Emirates,68.28,48.28,200.71,13.83,53.05,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
United Kingdom,58.71,43.05,175.06,11.43,47.01,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
United Republic of Tanzania,3.56,2.61,10.77,0.74,2.65,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
United States of America,74.63,52.5,221.4,16.73,54.06,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Uruguay,26.21,18.35,84.9,5.05,20.58,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Uzbekistan,7.22,5.12,21.94,1.7,5.28,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Vanuatu,9.74,6.98,29.62,1.85,7.58,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Venezuela (Bolivarian Republic of),23.16,16.6,67.96,4.8,17.38,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Viet Nam,7.16,5.08,20.88,1.4,5.41,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Yemen,5.93,4.18,18.77,1.21,4.68,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Zambia,3.85,2.72,11.95,0.8,2.93,primary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AFRO D,6.65,6.65,19.95,1.27,4.96,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AFRO E,5.73,5.65,17.15,1.17,4.48,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO A,74.75,72.75,217.5,15.36,54.34,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO B,24.9,24.17,69.81,4.95,18.76,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
AMRO D,14.27,14.26,41.54,2.95,10.38,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Andean Latin America,17.57,17.43,52.96,3.53,13.53,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Australasia,67.67,69.26,207.64,14.24,54.35,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Caribbean,13.03,13.05,38.69,2.85,9.48,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Asia,13.35,13.15,39.34,2.98,9.81,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Europe,34.01,34.32,103.05,6.69,27.81,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Latin America,24.37,24.73,72.43,5.33,19.11,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central Sub-Saharan Africa,5.33,5.22,15.09,1.13,3.9,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EMRO B,32.64,33.13,101.63,7.1,26.5,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EMRO D,8.11,7.76,23.67,1.6,5.74,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO A,60.5,62.39,193.56,12.27,51.29,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO B,25.72,25.23,76.82,5.2,21.2,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
EURO C,31.93,31.57,88.14,6.67,25.21,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
East Asia,15.74,16.07,47.79,3.31,13.45,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Eastern Europe,32.16,32.94,105.54,6.27,25.32,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Eastern Sub-Saharan Africa,3.62,3.68,11.38,0.69,2.94,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
High Income Asia Pacific,57.38,56.82,174.22,11.36,45.19,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
High Income North America,76.68,76.82,219.75,16.07,58.68,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
North Africa and the Middle East,23.14,22.88,69.43,4.93,16.78,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Oceania,6.82,6.87,20.9,1.44,5.25,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
SEARO B,11.76,11.57,34.48,2.31,8.86,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
SEARO D,7.54,7.42,23.28,1.59,5.75,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
South Asia,7.45,7.47,22.15,1.53,5.64,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Southeast Asia,10.8,10.97,33.95,2.17,9.38,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Southern Latin America,31.7,31.2,96.12,6.42,23.98,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Southern Sub-Saharan Africa,20.26,19.93,59.81,3.85,15.53,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Tropical Latin America,22.26,22.48,66.13,4.55,17.02,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
WPRO A,61.11,60.65,200.95,11.43,51.45,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
WPRO B,16.2,16,46.85,3.51,12.28,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Western Europe,61.14,60.18,180.01,12.07,45.05,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Western Sub-Saharan Africa,4.85,4.78,14.19,1,3.79,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Afghanistan,1.77,1.77,5.13,0.37,1.3,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Albania,18.16,18.24,55.53,3.72,13.46,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Algeria,16.93,16.53,49.79,3.56,12.58,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Andorra,72.44,76.18,256.72,15.17,63.84,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Angola,12.4,12.25,34.93,2.37,9.09,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Antigua and Barbuda,36.66,36.2,110.65,7.42,28.65,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Argentina,30.67,29.66,82.98,6.45,22.28,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Armenia,12.54,12.33,37.4,2.65,9.61,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Australia,70.56,69.63,202.35,14.79,49.45,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Austria,68.64,67.56,210.31,13.63,52.33,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Azerbaijan,20.2,20.02,64.83,4.05,16.79,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bahamas,53.21,52,154.4,11.31,39.65,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bahrain,37.84,38.07,121.94,7.22,31.43,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bangladesh,4.25,4.21,13.28,0.85,3.3,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Barbados,40.83,39.95,116.93,8.3,28.89,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Belarus,27.18,27.88,84.08,5.64,22.16,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Belgium,65.04,62.46,187.53,13.66,44.34,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Belize,15.8,15.66,45.05,3.08,12.75,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Benin,3.94,3.72,10.75,0.79,2.74,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bhutan,12.36,12.42,35.89,2.56,9.96,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bolivia Plurinational States of,10.68,10.46,32.45,2.25,7.98,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bosnia and Herzegovina,17.8,18.03,53.07,3.63,13.88,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Botswana,28.14,27.81,84.68,5.7,23.2,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Brazil,4.73,4.69,14.66,0.93,3.7,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Brunei Darussalam,82.84,86.59,271.34,17.73,76.89,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Bulgaria,27.21,26.89,82.62,5.24,20.71,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Burkina Faso,3.43,3.35,10.31,0.68,2.59,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Burundi,1.61,1.56,4.67,0.31,1.17,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cote d'Ivoire,4.99,4.93,14.35,1.07,3.68,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cabo Verde Republic of,9.13,9.35,28.42,2.04,7.34,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cambodia,5.41,5.47,16.08,1.13,4.66,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cameroon,5.44,5.48,16.81,1.07,4.34,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Canada,66.73,67.98,195.06,15.14,51.58,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Central African Republic,2.29,2.25,6.47,0.47,1.67,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Chad,3.78,3.56,10.36,0.76,2.57,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Chile,34.96,34.81,103.38,7.46,26.83,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
China,15.74,15.86,50.66,3.09,12.45,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Colombia,36.28,36.36,114.15,7.58,27.89,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Comoros,3.21,3.19,9.43,0.67,2.41,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Congo,9.58,9.34,28.24,1.92,7.09,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cook Islands,19.39,19.05,55.64,3.99,16.13,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Costa Rica,23.26,23.02,65.29,4.74,16.99,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Croatia,35.23,35.03,102.14,7.09,26.7,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cuba,9.1,9.02,27.16,1.89,6.94,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Cyprus,53.26,51.93,147.07,10.66,38.02,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Czech Republic,45.85,45.06,136.92,8.69,35.35,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Democratic Republic of the Congo,1.19,1.19,3.36,0.23,0.91,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Denmark,68.95,68.86,216.35,13.47,53.04,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Djibouti,5.86,5.93,18.9,1.13,4.86,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Dominica,24.38,24.25,72.61,5.02,18.94,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Dominican Republic,19.09,19.39,59.08,3.92,15.73,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Ecuador,18.32,17.7,52.55,3.98,13.41,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Egypt,13.53,13.27,41.53,2.72,10.12,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
El Salvador,14.31,14.17,45.02,2.92,11.08,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Equatorial Guinea,50.57,50.95,154.51,11.03,40.13,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Eritrea,1.52,1.53,4.43,0.29,1.15,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Estonia,37.61,37.36,107.86,7.48,26.17,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Ethiopia,2.76,2.9,9.17,0.57,2.38,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Fiji,10.48,10.54,32.29,2.42,8.32,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Finland,62.19,60.34,178.89,11.05,47.82,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
France,59.76,61.39,181.83,12.59,49.11,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Gabon,27.76,27.56,80.9,5.15,21.42,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Gambia,4.99,4.88,14.49,1.03,3.68,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Georgia,11.47,11.51,34.4,2.28,8.7,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Germany,64.46,65.01,195.77,13.54,49.41,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Ghana,4.32,4.42,13.66,0.95,3.52,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Greece,49.2,48.99,140.39,9.71,38.25,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Grenada,21.22,21.29,63.46,4.77,16.03,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Guatemala,10.81,10.23,30,2.22,7.36,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Guinea,2.78,2.77,8.6,0.54,2.3,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Guinea-Bissau,3.18,3.07,9.05,0.64,2.22,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Guyana,7.17,7.11,20.84,1.48,5.18,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Haiti,3.06,3.02,9.22,0.63,2.29,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Honduras,8.88,8.88,26.5,2.01,6.93,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Hungary,38.25,38.25,110.9,7.93,29.94,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Iceland,61.33,60.01,166.61,12.22,45.9,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
India,8.18,7.75,23.57,1.69,5.54,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Indonesia,9.86,9.57,28.69,1.99,7.44,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Iran (Islamic Republic of),29.2,28.16,88.73,5.61,20.74,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Iraq,8.75,8.54,26.24,1.83,6.49,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Ireland,69.52,70.37,208.25,13.82,55.11,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Israel,48.49,49.37,150.8,10.45,38.01,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Italy,56.26,54.13,158.82,11.6,42.32,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Jamaica,15.79,15.65,47.33,2.96,12.04,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Japan,58.3,57.7,162.7,11.82,42.25,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Jordan,12.55,12.47,39.62,2.52,10.24,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Kazakhstan,24.71,24.31,79.3,5.05,19.99,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Kenya,4.26,4.29,13.76,0.86,3.23,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Kiribati,5.8,5.84,16.88,1.15,4.38,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Kuwait,63.6,63.85,200.85,12.66,48.13,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Kyrgyzstan,5.73,5.87,18.03,1.17,4.53,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Lao People's Democratic Republic,6.14,6.14,18.37,1.28,4.94,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Latvia,32.43,33.21,100.27,6.53,26.41,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Lebanon,26.78,26.56,80.43,5.04,20.7,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Lesotho,4.59,4.61,13.84,0.92,3.63,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Liberia,1.66,1.63,4.71,0.36,1.19,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Libya,32.95,32.64,103.76,6.99,26.48,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Lithuania,34.38,35.22,113.99,6.91,27.42,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Luxembourg,131.23,131.21,396.94,26.55,103.6,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Madagascar,2.62,2.65,8.09,0.57,2.13,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Malawi,2.45,2.52,7.94,0.48,1.94,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Malaysia,29.54,29.02,88.48,5.99,21.59,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Maldives,17.14,16.96,50,3.47,12.94,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Mali,3.3,3.42,10.44,0.7,2.7,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Malta,48.86,49.47,153.22,10.21,38.38,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Marshall Islands,6.07,5.97,18.37,1.21,4.93,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Mauritania,5.58,5.45,16.81,1.2,4.2,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Mauritius,28.54,28.04,83.9,5.75,20.55,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Mexico,30.48,30.72,94.26,6.39,24.07,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Micronesia (Federated States of),8.31,8.14,23.5,1.78,6.25,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Monaco,187.5,179.73,552.54,35.74,137.81,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Mongolia,9.43,9.2,27.64,1.88,7.63,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Montenegro,26.06,25.08,76.24,5.5,18.04,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Morocco,10.87,10.9,33.33,2.27,8.03,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Mozambique,2.53,2.42,7.27,0.49,1.87,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Myanmar,3.24,3.25,9.52,0.71,2.43,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Namibia,14.55,14.56,44.2,2.93,10.82,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Nauru,5.75,5.82,18.36,1.19,4.55,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Nepal,3.59,3.57,10.94,0.69,2.71,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Netherlands,70.55,71.24,208.42,14.54,54.86,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
New Zealand,52.55,51.96,161.87,11.15,40.35,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Nicaragua,8.48,8.65,27.88,1.71,7.06,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Niger,1.85,1.83,5.37,0.37,1.42,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Nigeria,5.85,5.73,17.12,1.1,4.64,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Niue,41.13,40.59,133.07,8.19,32.25,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Norway,93.46,94,289.91,17.97,73.36,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Oman,39.87,39.22,118.16,7.58,29.67,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Pakistan,6.51,6.52,20.28,1.27,5.15,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Palau,32.72,33.23,103.35,6.38,25.93,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Panama,26.79,26.84,82.38,5.5,20.88,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Papua New Guinea,6.08,6.12,19.06,1.22,4.7,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Paraguay,12.96,12.86,38.98,2.72,9.95,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Peru,19.48,19.18,59.02,3.97,15.19,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Philippines,9.15,9.14,27.78,1.83,7.03,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Poland,37.37,36.85,107.73,7.53,27.97,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Portugal,46.09,44.78,122.47,9.85,35.42,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Qatar,120.92,118.54,348.61,23.82,86.85,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Republic of Korea,50.84,52.12,156.25,10.9,43.45,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Republic of Moldova,7.57,7.65,23.23,1.62,6.11,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Romania,28.77,28.83,91.07,5.84,23.83,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Russian Federation,38.25,38.98,120.8,8.14,31.15,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Rwanda,3.2,3.2,9.17,0.69,2.34,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Saint Kitts and Nevis,33.31,33.97,101.46,6.96,26.08,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Saint Lucia,22.33,21.78,65.99,4.66,16.54,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Saint Vincent and the Grenadines,21.23,21.63,65.66,4.46,18.12,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Samoa,9.76,10.02,30.8,1.86,8.24,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
San Marino,80.88,78.27,236.72,16.29,60.26,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Sao Tome and Principe,4.75,4.66,14.09,0.95,3.66,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Saudi Arabia,42.8,42.8,127.3,8.19,33.05,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Senegal,4.76,4.76,14.06,0.98,3.85,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Serbia,22.27,22.27,67.93,4.76,17.05,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Seychelles,42.11,42.06,132.11,8.08,33.07,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Sierra Leone,3.05,3.13,9.2,0.61,2.29,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Singapore,93.76,93.96,276.79,19.78,71.44,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Slovakia,42.43,42.6,134.39,8.48,32.69,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Slovenia,47.85,46.99,142.82,10.59,36.72,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Solomon Islands,6.71,6.56,20.84,1.35,5.16,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Somalia,NA,NA,NA,NA,NA,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
South Africa,20.94,20.58,60.54,4.27,16.07,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
Spain,55.45,55.73,171.11,11.88,43.43,secondary hospital,Cost per outpatient visit (2010 International Dollars (PPP I$))
